"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4392","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",3705,3101,3425,3518,3299,2950,3465,3208,3286,3642,3758,3752,3070,3367,3531,3718,3646,3333,3113,3471,3462,3563,3101,3284,3671,3244,3571,3777,3377,3730,3194,3375,3048,3463,3597,3698,3446,3291,3819,3161,2572,3436,2990,3503,3234,3466,3336,3850,3701,3149,2944,3221,3061,3689,3472,3601,3216,3722,3466,3648,2964,3453,3172,3657,3382,3674,2994,3265,3581,3405,3721,3777,3430,3231,3474,3716,3414,3297,3468,3141
"ACER.RUB",12126,9971,11139,11495,11034,8088,10483,9144,9564,10589,11296,12116,8366,10171,10943,10862,10956,9466,8326,10279,10675,10935,9139,9976,11901,10432,11977,12470,11256,12166,11175,11524,10233,12046,12492,12008,12005,11072,12459,10388,10080,12294,11272,12922,11918,12200,11833,13082,12482,11231,11024,12215,11372,13074,12884,12401,11589,12978,11950,12636,8067,10745,9034,11189,9531,11598,8398,9629,10925,10368,11495,11251,10573,9621,11007,12547,12220,11863,12129,11522
"ACER.SAH",6930,4882,6339,6706,5808,4212,6103,4949,5467,6422,6668,6898,4561,5786,6461,6687,6497,5407,4684,6090,6219,6736,4954,5731,6896,5675,6654,7152,6539,6965,5726,6403,5081,6721,7073,6798,6811,6399,7364,5058,3981,6530,4889,7176,5891,6869,6103,7338,6968,5378,4830,5876,5264,7290,6825,6829,5829,7375,6535,7231,4357,6301,4979,6664,5476,6695,4463,5453,6232,6040,6809,6576,6044,5160,6302,6956,6743,5964,6495,5202
"BETU.ALL",12318,11113,12022,12310,11855,10538,11507,10433,11221,11667,12259,11956,10139,11462,12019,11737,11340,10677,10459,11407,11642,11354,11090,11132,12234,11192,12311,13072,11776,12988,11799,11954,11034,12966,12298,12524,12459,11513,12575,11539,11077,12460,11758,12792,12043,12497,12423,12913,12606,11443,10891,12026,12084,12823,12823,11864,11718,12361,11928,12147,10350,11811,10415,12375,10984,12046,10679,11009,11564,11885,12590,12770,12436,10948,12041,12163,12159,11944,12526,11790
"BETU.PAP",5378,4856,5201,5314,5084,4365,5147,4630,5024,5208,5372,5412,4520,5076,5164,5399,5174,4914,4633,5064,5043,5232,4716,4891,5230,4891,5265,5466,5178,5363,4952,5141,4678,5270,5336,5363,5173,5041,5452,4830,4351,5312,4908,5373,5171,5283,5166,5478,5496,4961,4674,5138,4884,5466,5259,5354,4957,5467,5171,5416,4452,5164,4820,5234,5062,5301,4486,4870,5248,5086,5458,5337,5099,4843,5274,5445,5294,5164,5336,4972
"FAGU.GRA",12144,10882,11203,11393,11527,8726,9904,9182,9127,9483,10773,11737,8740,9712,10949,9925,10621,8941,8618,10098,10957,11013,9749,10333,11714,11389,11841,12570,11478,11770,11795,12555,11571,12386,13015,12110,12997,11826,12388,11673,12344,12852,12382,12955,12908,12541,12542,12358,12468,12528,12752,12946,12700,12797,13238,12871,12463,12673,11954,12645,8877,10111,8976,10501,9235,11447,9218,10336,10554,9876,11067,10214,10067,9502,10660,12093,12835,12733,12387,12338
"LARI.LAR",3192,1835,2788,3045,2371,2261,3072,2691,3015,3190,3591,3475,2775,3260,3390,3725,3518,3110,2743,3397,3286,3550,2638,3114,3620,3325,3942,4317,3790,4129,2688,3048,2293,3250,3440,3609,3189,3280,3738,2728,1467,3130,2106,3311,2704,3326,2930,3737,3492,2598,2701,3430,3005,4262,3849,3462,2766,3689,3193,3584,1614,3087,2208,3303,2656,2953,2223,2632,2875,2763,3820,3833,3409,3115,3582,3589,3213,2973,3221,2400
"PICE.GLA",17809,15718,17588,17362,17060,12343,17273,15198,16023,17779,17591,18555,13522,16176,17358,17785,17262,15509,13996,16457,16959,17230,13747,15586,17341,15161,17315,18695,16702,18303,15906,16650,14429,17473,17617,18572,17746,16458,18643,15051,13272,17405,15943,17670,17208,17722,17055,18318,17913,15668,15466,16601,16283,18560,17903,17631,16186,18226,17227,17837,13297,17393,15806,17665,16603,18484,13189,15752,17253,16463,18257,17836,16767,15958,17731,17610,17759,17231,17265,16299
"PICE.MAR",11471,9206,10838,11307,10257,8933,11153,9901,10497,11366,11704,11673,9375,10503,11333,11817,11367,10331,9393,10923,10583,11302,9474,10122,11627,9846,11034,11914,10591,11639,9850,10296,9022,10836,11365,11563,10549,10279,11979,9565,7454,10548,8667,11105,9689,10711,10377,11988,11391,9172,8650,9681,8775,11562,10814,11046,9672,11779,10669,11418,8942,11081,9980,11495,10769,11494,8847,10028,11109,10764,11607,11671,10708,9709,11225,11438,10517,10137,10632,8756
