"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",0.786,0.692,0.692,0.651,0.692,0,0.737,0.692,0.692,0.692,0,0.786,0.737,0.692,0.651,0.523,0.692,0.692,0.581,0.692,0.692,0.692,0.692,0.692,0.692,0,0,0.737,0,0.523,0.523,0.401,0.737,0.386,0.737,0.737,0.523,0.737,0.737,0.737,0.692,0.692,0.692,0.498,0.692,0.523,0.737,0.692,0.737,0.737,0.551,0.692,0.692,0.651,0.692,0.737,0.692,0.737,0.692,0.737,0.692,0.692,0.786,0.692,0.692,0.692,0.614,0.692,0.692,0.692,0.692,0.737,0.692,0.651,0.737,0.737,0.737,0.476,0.692
"ACER.RUB",0.614,0.614,0.614,0.651,0.737,0,0.418,0.418,0.455,0.418,0,0.551,0.435,0.435,0.418,0.401,0.523,0.418,0.418,0.614,0.614,0.614,0.651,0.614,0.651,0,0.359,0.692,0,0.651,0.651,0.651,0.737,0.651,0.737,0.651,0.651,0.651,0.651,0.737,0.786,0.786,0.786,0.737,0.786,0.651,0.651,0.737,0.692,0.786,0.737,0.786,0.786,0.786,0.786,0.692,0.786,0.786,0.786,0.651,0.418,0.551,0.614,0.418,0.418,0.614,0.418,0.614,0.551,0.614,0.347,0.435,0.614,0.455,0.786,0.786,0.786,0.692,0.692
"ACER.SAH",0.581,0.581,0.581,0.272,0.614,0,0.498,0.498,0.498,0.498,0,0.581,0.523,0.498,0.372,0.386,0.581,0.359,0.372,0.581,0.581,0.581,0.476,0.581,0.581,0,0,0.614,0,0.372,0.186,0.386,0.614,0.476,0.614,0.614,0.455,0.614,0.581,0.614,0.692,0.692,0.692,0.372,0.692,0.551,0.614,0.692,0.401,0.692,0.498,0.692,0.692,0.737,0.692,0.614,0.786,0.692,0.692,0.498,0.498,0.581,0.581,0.455,0.498,0.581,0.401,0.581,0.581,0.581,0.401,0.498,0.581,0.476,0.614,0.581,0.614,0.401,0.614
"BETU.ALL",0.651,0.651,0.651,0.651,0.651,0,0.614,0.614,0.614,0.614,0,0.651,0.614,0.614,0.551,0.614,0.614,0.551,0.614,0.651,0.651,0.651,0.651,0.651,0.651,0,0.386,0.692,0,0.692,0.651,0.581,0.692,0.692,0.692,0.692,0.692,0.692,0.651,0.692,0.737,0.786,0.737,0.737,0.786,0.692,0.692,0.786,0.692,0.737,0.737,0.786,0.737,0.737,0.786,0.692,0.737,0.786,0.737,0.692,0.614,0.651,0.651,0.614,0.614,0.651,0.614,0.651,0.651,0.651,0.581,0.614,0.651,0.581,0.692,0.692,0.737,0.692,0.692
"BETU.PAP",0.838,0.838,0.838,0.786,0.893,0.138,0.786,0.786,0.786,0.786,0.194,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.838,0.551,0.786,0.838,0.155,0.786,0.786,0.786,0.893,0.786,0.838,0.838,0.893,0.838,0.838,0.838,0.944,0.944,0.893,0.893,0.893,0.838,0.786,0.944,0.893,0.838,0.944,0.838,0.838,0.838,0.838,0.838,0.838,0.944,0.838,0.838,0.786,0.786,0.786,0.786,0.786,0.838,0.786,0.786,0.786,0.838,0.786,0.838,0.838,0.838,0.893,0.893,0.893,0.786,0.838
"FAGU.GRA",0.455,0.347,0.372,0.372,0.455,0,0,0,0,0,0,0.324,0.314,0.314,0,0,0.324,0,0,0.372,0.347,0.359,0.435,0.347,0.455,0,0.12,0.476,0,0.455,0.498,0.476,0.551,0.523,0.498,0.476,0.476,0.476,0.435,0.523,0.614,0.614,0.614,0.614,0.614,0.476,0.498,0.614,0.551,0.651,0.651,0.651,0.651,0.692,0.651,0.476,0.651,0.651,0.651,0.476,0,0.324,0.324,0,0.305,0.359,0.265,0.359,0.324,0.359,0,0.314,0.347,0,0.581,0.581,0.581,0.551,0.476
"LARI.LAR",0.838,0.838,0.838,0.435,0.838,0,0.786,0.786,0.786,0.786,0,0.893,0.893,0.786,0.786,0.786,0.786,0.786,0.786,0.893,0.838,0.838,0.838,0.838,0.893,0,0,0.893,0,0.523,0.372,0.581,0.893,0.838,0.893,0.893,0.893,0.893,0.893,0.893,0.786,0.786,0.786,0.786,0.786,0.893,0.581,0.786,0.523,0.786,0.386,0.786,0.786,0.786,0.786,0.893,0.786,0.786,0.786,0.893,0.786,0.786,0.786,0.551,0.786,0.838,0.786,0.838,0.786,0.838,0.786,0.893,0.838,0.786,0.838,0.838,0.838,0.581,0.893
"PICE.GLA",0.614,0.614,0.614,0.581,0.614,0,0.614,0.614,0.651,0.614,0,0.651,0.651,0.651,0.614,0.614,0.651,0.614,0.651,0.614,0.614,0.614,0.614,0.614,0.614,0,0,0.614,0,0.581,0.581,0.581,0.614,0.581,0.614,0.614,0.581,0.614,0.614,0.614,0.614,0.614,0.614,0.581,0.614,0.581,0.614,0.614,0.614,0.614,0.614,0.614,0.581,0.551,0.614,0.614,0.581,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614
"PICE.MAR",0.581,0.581,0.581,0.498,0.581,0,0.581,0.581,0.614,0.581,0,0.614,0.614,0.614,0.476,0.498,0.581,0.551,0.581,0.581,0.581,0.581,0.455,0.581,0.581,0,0,0.581,0,0.28,0.296,0.386,0.581,0.401,0.581,0.581,0.296,0.581,0.581,0.581,0.581,0.581,0.581,0.186,0.581,0.523,0.581,0.581,0.523,0.523,0.265,0.523,0.523,0.498,0.523,0.551,0.523,0.614,0.523,0.551,0.581,0.581,0.614,0.581,0.614,0.581,0.581,0.581,0.581,0.581,0.581,0.614,0.581,0.551,0.581,0.581,0.581,0.401,0.581
"PINU.BAN",0.838,0.838,0.838,0.838,0.838,0.893,0.893,0.893,0.944,0.893,0.944,0.944,0.893,0.893,0.944,0.944,0.944,0.944,0.944,0.893,0.893,0.893,0.838,0.893,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.893,0.893,0.893,0.893,0.893,0.838,0.893,0.893,0.893,0.838,0.893,0.893,0.944,0.893,0.838,0.838,0.838,0.838,0.838
"PINU.RES",0.651,0.614,0.651,0.651,0.651,0.386,0.551,0.551,0.581,0.498,0.455,0.614,0.551,0.551,0.581,0.551,0.614,0.523,0.551,0.614,0.614,0.614,0.651,0.614,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.786,0.786,0.786,0.786,0.786,0.651,0.651,0.786,0.651,0.737,0.786,0.786,0.737,0.737,0.737,0.651,0.737,0.786,0.737,0.651,0.551,0.614,0.614,0.498,0.551,0.614,0.614,0.614,0.614,0.614,0.455,0.551,0.614,0.498,0.692,0.692,0.692,0.692,0.651
"PINU.STR",0.651,0.651,0.651,0.651,0.692,0.162,0.523,0.581,0.614,0.476,0.16,0.614,0.581,0.581,0.614,0.614,0.614,0.551,0.614,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.692,0.581,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.651,0.692,0.786,0.786,0.786,0.786,0.786,0.692,0.692,0.786,0.692,0.838,0.786,0.786,0.838,0.838,0.838,0.692,0.838,0.786,0.838,0.692,0.523,0.651,0.651,0.523,0.581,0.651,0.651,0.651,0.651,0.651,0.455,0.614,0.651,0.551,0.692,0.692,0.692,0.692,0.692
"POPU.TRE",0.944,0.944,0.944,0.893,0.944,0.265,0.893,0.893,0.893,0.893,0.033,0.893,0.893,0.893,0.893,0.838,0.944,0.893,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.893,0.893,0.944,0.386,0.893,0.893,0.893,0.944,0.893,0.944,0.944,0.944,0.944,0.944,0.944,0.838,0.838,0.838,0.838,0.838,0.893,0.944,0.838,0.893,0.838,0.838,0.786,0.838,0.838,0.838,0.944,0.838,0.838,0.838,0.944,0.893,0.893,0.893,0.893,0.893,0.944,0.838,0.944,0.893,0.944,0.893,0.893,0.944,0.893,0.893,0.944,0.944,0.944,0.944
"QUER.RUB",0.498,0.401,0.418,0,0.523,0,0.066,0.324,0,0.324,0,0.359,0.347,0.335,0,0,0.11,0,0,0.418,0.401,0.418,0.16,0.372,0.523,0,0,0.523,0,0.085,0.082,0,0.551,0,0.523,0.435,0.162,0.476,0.523,0.551,0.614,0.614,0.614,0.087,0.581,0.359,0.359,0.581,0.372,0.651,0.372,0.581,0.651,0.651,0.651,0.418,0.651,0.692,0.551,0.186,0.305,0.347,0.372,0,0.335,0.455,0,0.418,0.347,0.455,0,0.347,0.372,0,0.551,0.523,0.551,0.18,0.523
"THUJ.SPP.ALL",0.523,0.523,0.523,0.551,0.551,0.305,0.476,0.476,0.523,0.455,0.265,0.523,0.498,0.476,0.523,0.523,0.523,0.498,0.523,0.523,0.523,0.523,0.551,0.523,0.551,0.523,0.551,0.551,0.498,0.581,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.614,0.614,0.614,0.614,0.614,0.551,0.551,0.614,0.651,0.614,0.614,0.614,0.614,0.614,0.614,0.551,0.614,0.614,0.614,0.551,0.476,0.523,0.523,0.455,0.498,0.523,0.523,0.523,0.523,0.523,0.435,0.498,0.523,0.476,0.614,0.614,0.581,0.581,0.551
