"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4392","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",3346,2795,3249,3303,3241,2985,3418,3166,3267,3445,3627,3667,3071,3300,3495,3700,3496,3224,3086,3370,3316,3459,3007,3366,3483,2999,3354,3645,3351,3545,3032,3126,2602,3222,3384,3482,3217,3112,3629,2911,1268,3136,2399,3351,2971,3269,3242,3602,3434,2876,1993,2910,2496,3435,3294,3342,2972,3558,3188,3448,2974,3436,3137,3558,3279,3512,2990,3146,3407,3297,3603,3628,3369,3201,3522,3564,3371,3299,3366,2994
"ACER.RUB",12779,10499,11794,12428,11753,9544,11831,10677,11339,12341,12758,12871,9917,11437,12052,12652,12279,11350,10307,11742,11826,12263,10167,11084,12676,11187,12301,12980,11906,13096,11400,11892,10349,12285,12618,12778,12044,11703,13443,10835,9527,12201,10792,12900,11634,12661,12086,13401,13038,11423,10713,11879,11315,13136,12417,12557,11529,13207,12005,12762,9956,12254,11011,12658,11530,12709,10004,11191,12362,11708,13153,12896,12036,11511,12585,13054,12748,12164,12630,11702
"ACER.SAH",6409,4371,5712,6439,5093,4520,6343,5354,6227,6969,7092,7086,5069,6195,6769,7557,6719,5660,5108,6630,6089,6880,4724,5707,6862,4998,6418,7440,6323,7033,4958,5148,4251,5938,6671,6900,5728,5660,7156,4664,3053,5705,4030,6429,4871,6271,5448,7307,6844,4882,4121,4690,4090,6956,5939,6401,4756,7094,6176,6907,4786,6757,5543,7085,6432,7064,4687,5482,6657,6449,7323,7183,6455,5740,6765,7108,6425,5896,6459,4691
"BETU.ALL",11840,10637,11896,11905,11389,10168,12268,10818,11735,12110,12511,12409,10422,11456,12476,12582,11774,11469,11244,11503,11658,12664,10858,11275,12671,11395,11823,12393,11793,12104,12007,12115,10986,11934,12322,12236,11492,11620,12592,10796,9940,11843,10743,12147,11426,11646,11914,12409,12202,11053,10795,10985,11258,12036,12467,12326,11470,12519,11607,12447,10692,12306,11323,11934,11646,11750,10862,11051,11907,12056,12567,12077,11731,11571,11890,12615,12200,11571,11867,11490
"BETU.PAP",5212,4616,5015,5186,4874,4265,5043,4613,4976,5258,5323,5393,4522,4897,5178,5306,5153,4811,4537,5025,4973,5135,4540,4738,5276,4671,5171,5360,5053,5278,4871,4944,4498,5221,5141,5337,5085,4959,5442,4667,4219,5073,4646,5241,4940,5162,5037,5425,5339,4763,4568,4926,4724,5262,5159,5227,4768,5345,5060,5267,4446,5125,4809,5285,5016,5219,4356,4736,5112,4965,5322,5380,5099,4846,5298,5413,5203,5047,5154,4863
"FAGU.GRA",13327,12280,13015,13393,12745,11530,13190,12214,11984,12260,12810,13267,11549,12703,12735,12916,12815,12657,11385,12518,12384,12655,12004,12613,12889,12774,12560,13465,13123,12591,13002,13035,12772,12768,13013,12896,12801,12531,13007,12375,11852,12744,12478,12877,12867,13593,12785,12955,13230,12861,12490,13107,12612,12894,12953,12987,12759,12963,13187,12995,11324,12654,11849,13051,12091,12718,11591,12150,12431,12821,12546,12823,12389,12734,12661,12857,12817,12979,13057,12564
"LARI.LAR",2524,1099,2084,2479,1631,1779,2977,2393,2721,2958,3354,3309,2426,3005,3189,3548,3202,2811,2393,3046,2914,3257,1991,2650,3196,2797,3480,4034,3425,3840,1978,2337,1353,2631,2806,3347,2729,2560,3465,1933,289,2425,1167,2639,1784,2883,2463,3468,3206,1786,1321,2443,1749,3903,3321,3001,1951,3381,2781,3149,1394,2847,2029,3094,2478,2654,1758,2278,2552,2471,3672,3719,3281,2907,3438,3273,3014,2597,3000,1945
"PICE.GLA",17597,14283,17164,16939,16072,12506,16879,14622,15968,17118,17350,17985,12974,15637,16406,17181,17111,15248,13282,15783,15822,17185,13068,15339,17296,14966,16901,17529,16275,17842,15893,15631,13683,16693,17666,17293,16391,16068,17975,14404,12394,16668,14863,17015,15998,17171,16440,18147,18130,15082,14682,15906,15257,17932,17092,17675,15637,18551,16370,17556,13438,17055,14916,17869,16476,17720,12782,14936,17115,16459,18170,17711,16671,15883,17288,18152,17595,16885,17326,16116
"PICE.MAR",10158,7641,9512,10043,8907,7990,10465,9240,9852,10897,11109,11284,8630,9902,10768,11311,10815,9625,8801,10066,9842,10640,8396,9353,10687,8833,10273,11308,9809,10956,8385,9073,7210,9523,10043,11018,9320,9163,11385,7956,5051,8927,6872,9674,8042,9997,9206,11248,10578,8180,6588,8044,7241,10652,9433,10390,8540,11101,9722,10561,8677,10698,9632,11056,10246,11070,8230,9180,10609,9955,11380,11410,10379,9545,10864,10978,10013,9319,9926,8266
