"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",3599,2861,3049,15,3193,NA,3292,3586,2840,3625,NA,3799,3873,3702,1454,1422,2897,1785,1914,3374,3267,3275,1579,3248,3619,NA,NA,3158,NA,701,21,34,3059,85,3600,3095,1077,3231,3285,3662,2888,3158,2113,0,1951,1337,2073,2804,1838,2897,569,2407,2512,1533,2960,2533,2533,3220,2233,2219,3298,3569,3675,2891,3234,3545,1415,3532,3142,3456,2872,3783,3657,2330,2942,2652,3383,849,3633
"ACER.RUB",12431,10600,11343,5737,11707,NA,9997,11305,8272,11295,NA,12179,12297,11841,6128,5731,8856,6094,6615,11685,11012,11068,7284,10912,12490,738,1850,11210,198,7349,5910,5700,11340,6141,12643,11260,6806,11931,11680,12709,12368,12913,10793,5652,10862,7469,8683,11660,8383,12961,7842,11443,12344,11619,12835,9535,12363,13155,11733,8489,10287,11788,11853,8485,10511,12149,6684,11788,10340,11879,8118,11962,12206,7369,11459,10370,12642,8005,12662
"ACER.SAH",7398,5021,5535,17,6348,NA,6192,6983,4475,6982,NA,7388,7624,7085,2830,2682,4698,3123,4007,6800,6427,6550,3448,6509,7426,NA,NA,6162,NA,2719,61,107,5994,79,7378,6129,1331,6745,6802,7334,5818,6969,4322,1,4452,2476,4047,6200,3901,7008,1800,5144,6495,5154,7021,4345,6649,7392,5564,4187,6180,7392,7305,4301,6167,7166,2731,7027,5699,6890,4343,7410,7160,4004,5278,4747,7189,1552,7414
"BETU.ALL",12967,11336,11956,8116,11987,NA,11764,12004,10296,11602,NA,12682,12576,12867,8897,8992,10525,8718,9656,12187,12193,11760,9683,11394,12815,NA,6010,11873,NA,9582,8730,7693,11398,8124,12188,11373,8874,12228,12763,12664,11734,12612,11370,7097,11310,9762,10492,11810,10000,12551,9585,10938,11722,11392,11983,10658,11462,13091,11832,10473,11379,12369,12609,10476,11792,12462,9564,12347,11555,12289,10885,13153,12762,10245,11880,10921,12744,9523,12505
"BETU.PAP",5396,4882,5088,3155,5188,46,4952,5263,4247,5295,41,5503,5552,5480,3583,3401,4416,3504,3661,5151,5086,5069,3742,5022,5408,1017,1595,5011,520,3573,3102,3061,4962,3249,5406,5063,3419,5218,5153,5384,5124,5210,4627,2868,4616,3718,4132,4857,3896,4958,3550,4647,4843,4396,5017,4386,4784,5286,4634,4047,4956,5255,5358,4131,4977,5206,3601,5139,4904,5185,4411,5482,5333,3932,5013,4648,5307,3763,5541
"FAGU.GRA",13135,12344,12639,9849,12437,NA,12084,12265,11250,12479,NA,12819,12736,12633,9330,9163,11697,9263,9541,12651,12634,12343,10521,12630,13221,7963,10351,12773,NA,10944,9855,9659,12761,10096,12915,12504,10373,12634,12911,13101,12884,12738,12787,10334,12777,11063,12267,13081,11811,12709,11862,12992,12995,12664,12996,12199,12879,12830,12919,11443,11868,12134,12756,10535,11999,12525,9827,12703,12241,12937,10691,12493,12921,10070,12791,12537,12959,12293,12727
"LARI.LAR",3336,1393,2597,NA,1541,NA,2219,3532,1555,3664,NA,3628,3756,2652,654,443,1853,819,994,3146,3027,3008,468,2912,3662,NA,NA,2833,NA,61,2,2,2454,4,3368,2582,176,2956,2977,3666,2025,2696,1046,0,987,244,892,2053,606,2757,10,2031,2101,821,2591,1587,1585,3285,1430,1156,2489,2199,3498,481,2443,1823,171,1808,2262,1952,2304,3777,3635,1783,2350,2229,3096,50,3486
"PICE.GLA",16935,15057,15746,5450,15997,NA,15366,16931,11360,17310,NA,17458,17924,17619,6204,4645,11793,5455,6873,16096,15158,16063,7035,15496,16566,NA,NA,14856,NA,7027,3873,3458,14576,4134,16528,14123,5329,16123,15546,16828,12859,14157,11674,2685,10972,7368,10197,12280,8826,0,4935,8390,0,0,0,11238,0,12591,0,9900,16372,17133,17487,12505,15899,16876,7715,16903,15146,16751,12167,17246,17781,9516,13582,12073,15762,8751,17019
"PICE.MAR",10859,8002,8656,69,9090,NA,9785,10939,7619,10911,NA,11303,11595,11136,4660,4256,7903,5628,5992,10023,9713,9677,5247,9548,10708,NA,NA,8673,NA,2792,5,17,8264,164,10480,8563,2271,9464,9566,10486,6797,8117,5253,0,4952,4010,5632,7272,3907,0,0,5602,0,0,7671,7015,0,8395,0,6157,9788,10754,11340,7682,9848,10578,4989,10518,8965,10505,7889,11630,11048,6804,7438,6511,9594,1879,10606
