"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"075","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.4,0.001
"076","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.4,0.001
"077","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.4,0.001
"078","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.4,0.001
"079","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.4,0.001
"080","ABIE.BAL",0.18,1,1,0.5,0.001
"081","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.5,0.001
"082","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.5,0.001
"083","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.5,0.001
"084","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.5,0.001
"085","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.5,0.001
"086","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.5,0.001
"087","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.5,0.001
"088","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.5,0.001
"089","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.5,0.001
"090","ABIE.BAL",0.18,1,1,0.6,0.001
"091","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.6,0.001
"092","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.6,0.001
"093","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.6,0.001
"094","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.6,0.001
"095","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.6,0.001
"096","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.6,0.001
"097","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.6,0.001
"098","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.6,0.001
"099","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.6,0.001
"100","ABIE.BAL",0.18,1,1,0.7,0.001
"101","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.7,0.001
"102","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.7,0.001
"103","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.7,0.001
"104","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.7,0.001
"105","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.7,0.001
"106","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.7,0.001
"107","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.7,0.001
"108","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.7,0.001
"109","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.7,0.001
"110","ABIE.BAL",0.18,1,1,0.8,0.001
"111","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.8,0.001
"112","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.8,0.001
"113","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.8,0.001
"114","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.8,0.001
"115","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.8,0.001
"116","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.8,0.001
"117","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.8,0.001
"118","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.8,0.001
"119","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.8,0.001
"120","ABIE.BAL",0.18,1,1,0.9,0.001
"121","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.9,0.001
"122","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.9,0.001
"123","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.9,0.001
"124","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.9,0.001
"125","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.9,0.001
"126","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.9,0.001
"127","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.9,0.001
"128","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.9,0.001
"129","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.9,0.001
"130","ABIE.BAL",0.18,1,1,1,0.001
"131","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,1,0.001
"132","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,1,0.001
"133","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,1,0.001
"134","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,1,0.001
"135","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,1,0.001
"136","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,1,0.001
"137","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,1,0.001
"138","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,1,0.001
"139","ABIE.BAL",1,5.65748543254146,5.65748543254146,1,0.001
"140","ABIE.BAL",0.18,1,1,0.4,0.005
"141","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.4,0.005
"142","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.4,0.005
"143","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.4,0.005
"144","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.4,0.005
"145","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.4,0.005
"146","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.4,0.005
"147","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.4,0.005
"148","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.4,0.005
"149","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.4,0.005
"150","ABIE.BAL",0.18,1,1,0.5,0.005
"151","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.5,0.005
"152","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.5,0.005
"153","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.5,0.005
"154","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.5,0.005
"155","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.5,0.005
"156","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.5,0.005
"157","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.5,0.005
"158","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.5,0.005
"159","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.5,0.005
"160","ABIE.BAL",0.18,1,1,0.6,0.005
"161","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.6,0.005
"162","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.6,0.005
"163","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.6,0.005
