"simID","distAbs","distRel","simDir","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"430",0.506944834654343,0.351564828898775,430,0.18,1,1,1,0.018
"794",0.392581737814338,0.270655241054756,794,0.5,2.79572325130542,2.79572325130542,0.4,0.005
