"simID","distAbs","distRel","simDir","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"230",0.680467046804599,0.576083554972669,230,0.17,1,1,1,0.001
"345",0.499601631976856,0.464556037187668,345,0.6,3.52948218010338,3.52948218010338,0.5,0.01
