"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"0070","ABIE.BAL",0.3,1.38271224337692,1.38271224337692,0.95,0
"0071","ABIE.BAL",0.35,1.61316428393974,1.61316428393974,0.95,0
"0072","ABIE.BAL",0.4,1.84361632450256,1.84361632450256,0.95,0
"0073","ABIE.BAL",0.45,2.07406836506538,2.07406836506538,0.95,0
"0074","ABIE.BAL",0.5,2.3045204056282,2.3045204056282,0.95,0
"0075","ABIE.BAL",0.55,2.53497244619102,2.53497244619102,0.95,0
"0076","ABIE.BAL",0.6,2.76542448675385,2.76542448675385,0.95,0
"0077","ABIE.BAL",0.65,2.99587652731667,2.99587652731667,0.95,0
"0078","ABIE.BAL",0.7,3.22632856787949,3.22632856787949,0.95,0
"0079","ABIE.BAL",0.75,3.45678060844231,3.45678060844231,0.95,0
"0080","ABIE.BAL",0.8,3.68723264900513,3.68723264900513,0.95,0
"0081","ABIE.BAL",0.85,3.91768468956795,3.91768468956795,0.95,0
"0082","ABIE.BAL",0.9,4.14813673013077,4.14813673013077,0.95,0
"0083","ABIE.BAL",0.95,4.37858877069359,4.37858877069359,0.95,0
"0084","ABIE.BAL",1,4.60904081125641,4.60904081125641,0.95,0
"0085","ABIE.BAL",0.2,0.921808162251282,0.921808162251282,1,0
"0086","ABIE.BAL",0.25,1.1522602028141,1.1522602028141,1,0
"0087","ABIE.BAL",0.3,1.38271224337692,1.38271224337692,1,0
"0088","ABIE.BAL",0.35,1.61316428393974,1.61316428393974,1,0
"0089","ABIE.BAL",0.4,1.84361632450256,1.84361632450256,1,0
"0090","ABIE.BAL",0.45,2.07406836506538,2.07406836506538,1,0
"0091","ABIE.BAL",0.5,2.3045204056282,2.3045204056282,1,0
"0092","ABIE.BAL",0.55,2.53497244619102,2.53497244619102,1,0
"0093","ABIE.BAL",0.6,2.76542448675385,2.76542448675385,1,0
"0094","ABIE.BAL",0.65,2.99587652731667,2.99587652731667,1,0
"0095","ABIE.BAL",0.7,3.22632856787949,3.22632856787949,1,0
"0096","ABIE.BAL",0.75,3.45678060844231,3.45678060844231,1,0
"0097","ABIE.BAL",0.8,3.68723264900513,3.68723264900513,1,0
"0098","ABIE.BAL",0.85,3.91768468956795,3.91768468956795,1,0
"0099","ABIE.BAL",0.9,4.14813673013077,4.14813673013077,1,0
"0100","ABIE.BAL",0.95,4.37858877069359,4.37858877069359,1,0
"0101","ABIE.BAL",1,4.60904081125641,4.60904081125641,1,0
"0102","ABIE.BAL",0.2,0.921808162251282,0.921808162251282,1.05,0
